Entity,Code,Date,Total confirmed cases ,,,,,
Switzerland,CHE,3-Mar-20,30,,,,,
Switzerland,CHE,4-Mar-20,37,,,,,
Switzerland,CHE,5-Mar-20,57,,,,,
Switzerland,CHE,6-Mar-20,87,,,,,
Switzerland,CHE,7-Mar-20,209,,,,,
Switzerland,CHE,8-Mar-20,264,,,,,
Switzerland,CHE,9-Mar-20,332,,,,,
Switzerland,CHE,10-Mar-20,374,,,,,
Switzerland,CHE,11-Mar-20,490,,,,,
Switzerland,CHE,12-Mar-20,642,,,,,
Switzerland,CHE,13-Mar-20,854,,,,,
Switzerland,CHE,14-Mar-20,1121,,,,,
Switzerland,CHE,15-Mar-20,1359,,,,,
Switzerland,CHE,16-Mar-20,2200,,,,,
Switzerland,CHE,17-Mar-20,2200,,,,,
Switzerland,CHE,18-Mar-20,2650,,,,,
Switzerland,CHE,19-Mar-20,3010,,,,,
Switzerland,CHE,20-Mar-20,3888,,,,,
Switzerland,CHE,21-Mar-20,4840,,,,,
Switzerland,CHE,22-Mar-20,6077,,,,,
Switzerland,CHE,23-Mar-20,6971,,,,,
Switzerland,CHE,24-Mar-20,8015,,,,,
Switzerland,CHE,25-Mar-20,8789,,,,,
Switzerland,CHE,26-Mar-20,9714,,,,,
Switzerland,CHE,27-Mar-20,10714,,,,,
Switzerland,CHE,28-Mar-20,12104,,,,,
Switzerland,CHE,29-Mar-20,13152,,,,,
Switzerland,CHE,30-Mar-20,14274,,,,,
Switzerland,CHE,31-Mar-20,15412,,,,,
Switzerland,CHE,1-Apr-20,16108,,,,,
Switzerland,CHE,2-Apr-20,17070,,,,,
Switzerland,CHE,3-Apr-20,18194,,,,,
Switzerland,CHE,4-Apr-20,19227,,,,,
Switzerland,CHE,5-Apr-20,20201,,,,,
Switzerland,CHE,6-Apr-20,21022,,,,,
Switzerland,CHE,7-Apr-20,21574,,,,,
Switzerland,CHE,8-Apr-20,22164,,,,,
Switzerland,CHE,9-Apr-20,22710,,,,,
Switzerland,CHE,10-Apr-20,23495,,,,,
Switzerland,CHE,11-Apr-20,24228,,,,,
Switzerland,CHE,12-Apr-20,24820,,,,,
Switzerland,CHE,13-Apr-20,25220,,,,,
Switzerland,CHE,14-Apr-20,25499,,,,,
Switzerland,CHE,15-Apr-20,25753,,,,,
Switzerland,CHE,16-Apr-20,26336,,,,,
Switzerland,CHE,17-Apr-20,26651,,,,,
Switzerland,CHE,18-Apr-20,26997,,,,,
Switzerland,CHE,19-Apr-20,27322,,,,,
Switzerland,CHE,20-Apr-20,27658,,,,,
Switzerland,CHE,21-Apr-20,27826,,,,,
Switzerland,CHE,22-Apr-20,27981,,,,,
Switzerland,CHE,23-Apr-20,28186,,,,,
Switzerland,CHE,24-Apr-20,28414,,,,,
Switzerland,CHE,25-Apr-20,28595,,,,,
Switzerland,CHE,26-Apr-20,28811,,,,,
Switzerland,CHE,27-Apr-20,28978,,,,,
Switzerland,CHE,28-Apr-20,29081,,,,,
Switzerland,CHE,29-Apr-20,29181,,,,,
Syria,SYR,23-Mar-20,1,,,,,
Syria,SYR,24-Mar-20,1,,,,,
Syria,SYR,25-Mar-20,1,,,,,
Syria,SYR,26-Mar-20,1,,,,,
Syria,SYR,27-Mar-20,5,,,,,
Syria,SYR,28-Mar-20,5,,,,,
Syria,SYR,29-Mar-20,5,,,,,
Syria,SYR,30-Mar-20,9,,,,,
Syria,SYR,31-Mar-20,10,,,,,
Syria,SYR,1-Apr-20,10,,,,,
Syria,SYR,2-Apr-20,10,,,,,
Syria,SYR,3-Apr-20,16,,,,,
Syria,SYR,4-Apr-20,16,,,,,
Syria,SYR,5-Apr-20,16,,,,,
Syria,SYR,6-Apr-20,19,,,,,
Syria,SYR,7-Apr-20,19,,,,,
Syria,SYR,8-Apr-20,19,,,,,
Syria,SYR,9-Apr-20,19,,,,,
Syria,SYR,10-Apr-20,19,,,,,
Syria,SYR,11-Apr-20,19,,,,,
Syria,SYR,12-Apr-20,25,,,,,
Syria,SYR,13-Apr-20,25,,,,,
Syria,SYR,14-Apr-20,25,,,,,
Syria,SYR,15-Apr-20,29,,,,,
Syria,SYR,16-Apr-20,33,,,,,
Syria,SYR,17-Apr-20,33,,,,,
Syria,SYR,18-Apr-20,38,,,,,
Syria,SYR,19-Apr-20,38,,,,,
Syria,SYR,20-Apr-20,39,,,,,
Syria,SYR,21-Apr-20,39,,,,,
Syria,SYR,22-Apr-20,42,,,,,
Syria,SYR,23-Apr-20,42,,,,,
Syria,SYR,24-Apr-20,42,,,,,
Syria,SYR,25-Apr-20,42,,,,,
Syria,SYR,26-Apr-20,42,,,,,
Syria,SYR,27-Apr-20,43,,,,,
Syria,SYR,28-Apr-20,43,,,,,
Syria,SYR,29-Apr-20,43,,,,,
Taiwan,TWN,21-Jan-20,1,,,,,
Taiwan,TWN,22-Jan-20,1,,,,,
Taiwan,TWN,23-Jan-20,1,,,,,
Taiwan,TWN,24-Jan-20,1,,,,,
Taiwan,TWN,25-Jan-20,3,,,,,
Taiwan,TWN,26-Jan-20,3,,,,,
Taiwan,TWN,27-Jan-20,5,,,,,
Taiwan,TWN,28-Jan-20,7,,,,,
Taiwan,TWN,29-Jan-20,8,,,,,
Taiwan,TWN,30-Jan-20,8,,,,,
Taiwan,TWN,31-Jan-20,9,,,,,
Taiwan,TWN,1-Feb-20,10,,,,,
Taiwan,TWN,2-Feb-20,10,,,,,
Taiwan,TWN,3-Feb-20,10,,,,,
Taiwan,TWN,4-Feb-20,10,,,,,
Taiwan,TWN,5-Feb-20,11,,,,,
Taiwan,TWN,6-Feb-20,11,,,,,
Taiwan,TWN,7-Feb-20,16,,,,,
Taiwan,TWN,8-Feb-20,17,,,,,
Taiwan,TWN,9-Feb-20,18,,,,,
Taiwan,TWN,10-Feb-20,18,,,,,
Taiwan,TWN,11-Feb-20,18,,,,,
Taiwan,TWN,12-Feb-20,18,,,,,
Taiwan,TWN,13-Feb-20,18,,,,,
Taiwan,TWN,14-Feb-20,18,,,,,
Taiwan,TWN,15-Feb-20,18,,,,,
Taiwan,TWN,16-Feb-20,18,,,,,
Taiwan,TWN,17-Feb-20,20,,,,,
Taiwan,TWN,18-Feb-20,22,,,,,
Taiwan,TWN,19-Feb-20,22,,,,,
Taiwan,TWN,20-Feb-20,24,,,,,
Taiwan,TWN,21-Feb-20,24,,,,,
Taiwan,TWN,22-Feb-20,26,,,,,
Taiwan,TWN,23-Feb-20,26,,,,,
Taiwan,TWN,24-Feb-20,28,,,,,
Taiwan,TWN,25-Feb-20,30,,,,,
Taiwan,TWN,26-Feb-20,31,,,,,
Taiwan,TWN,27-Feb-20,32,,,,,
Taiwan,TWN,28-Feb-20,34,,,,,
Taiwan,TWN,29-Feb-20,39,,,,,
Taiwan,TWN,1-Mar-20,40,,,,,
Taiwan,TWN,2-Mar-20,40,,,,,
Taiwan,TWN,3-Mar-20,41,,,,,
Taiwan,TWN,4-Mar-20,42,,,,,
Taiwan,TWN,6-Mar-20,44,,,,,
Taiwan,TWN,7-Mar-20,45,,,,,
Taiwan,TWN,8-Mar-20,45,,,,,
Taiwan,TWN,9-Mar-20,45,,,,,
Taiwan,TWN,11-Mar-20,48,,,,,
Taiwan,TWN,12-Mar-20,48,,,,,
Taiwan,TWN,13-Mar-20,49,,,,,
Taiwan,TWN,14-Mar-20,53,,,,,
Taiwan,TWN,15-Mar-20,59,,,,,
Taiwan,TWN,16-Mar-20,59,,,,,
Taiwan,TWN,17-Mar-20,67,,,,,
Taiwan,TWN,18-Mar-20,77,,,,,
Taiwan,TWN,19-Mar-20,108,,,,,
Taiwan,TWN,20-Mar-20,108,,,,,
Taiwan,TWN,21-Mar-20,135,,,,,
Taiwan,TWN,22-Mar-20,153,,,,,
Taiwan,TWN,23-Mar-20,165,,,,,
Taiwan,TWN,24-Mar-20,195,,,,,
Taiwan,TWN,25-Mar-20,216,,,,,
Taiwan,TWN,26-Mar-20,235,,,,,
Taiwan,TWN,27-Mar-20,252,,,,,
Taiwan,TWN,28-Mar-20,267,,,,,
Taiwan,TWN,29-Mar-20,283,,,,,
