,Country Name,hospital_beds per_thousand_2014,Health_expenditure per_capita_2017,Health_expenditure out_of_pocket per_capita_2017,Physicians per_thousand_2016,handwashing facilities%_2016,Total_tests per_thousand
212,South Asia (IDA & IBRD),,,,,56.5983062474222,
213,Sub-Saharan Africa (IDA & IBRD countries),,,,,25.326144178849802,
214,Iran,,,,,,5.398
215,"Italy, people tested",,,,,,21.724
216,"Japan, tests performed",,,,,,2.113
217,Russia,,,,,,22.638
218,Slovakia,,,,,,14.898
219,South Korea,,,,,,11.98
220,Taiwan,,,,,,2.639
221,"United Kingdom, tests performed",,,,,,12.058
